


,Pradhan Mantri Gram Sadak Yojana,,,,,,,,,,,,,,,,,,

,Delta Report (Road Wise Summary),,,,,,,,,,,,,,,,,,


,,Details of Road Projects,,,,,Total Length (km),Balance Length (Kms),,Annual Target (Kms),,Target for Remaining Months (Kms),Target for Current Month (Kms),Progress in this FY (Kms),Progress in Current Month (Kms),Financial Expenditure (Cumulative) (In Lakhs),"Financial Expenditure 
(This FY)
(In Lakhs)","Financial Expenditure 
(This Month)
(In Lakhs)",Road Status
Sr No.,,Scheme,Name of the Road,Package_ID,District,Block,,,,,,,,,,,,,
43,,PMGSY-I,L090-L085 TO BARSODI,BR12R-1037,Gaya,Barachatti,3.6,3.6,,3.6,,3.600,0,0,0,0.00,0.00,0.00,-
44,,PMGSY-I,L091-G.T.ROAD TO NARE,BR12R-1041,Gaya,Barachatti,5.17,5.17,,5.17,,5.170,0,0,0,0.00,0.00,0.00,-
45,,PMGSY-I,L092-L039 TO KADAL,BR12R-1042,Gaya,Barachatti,4.93,0,,0,,0.000,0,0,0,0.00,0.00,0.00,-
46,,PMGSY-I,L093-BHALUA GHATTI TO DAND,BR12R-1043,Gaya,Barachatti,6.3,6.3,,6.3,,6.300,0,0,0,0.00,0.00,0.00,-
47,,PMGSY-I,L081-L059 to Maunbar,BR12R-1057,Gaya,Dumaria,3.34,3.34,,3.34,,3.340,0,0,0,0.00,0.00,0.00,-
48,,PMGSY-I,L062-L060 to Kokana (VR62) ,BR12R-1061,Gaya,Dumaria,4.827,2.827,,2.827,,2.827,0,0,0,0.00,0.00,0.00,-
49,,PMGSY-I,L055-T02  to Dubbat (VR55) ,BR12R-1066,Gaya,Dumaria,6.536,3.536,,3.536,,3.536,0,0,0,0.00,0.00,0.00,-
50,,PMGSY-I,L059-L058  to Anarban Salaiya (VR59) ,BR12R-1067,Gaya,Dumaria,14.573,14.573,,14.573,,14.573,0,0,0,0.00,0.00,0.00,-
51,,PMGSY-I,L123-L027 to Tanti (VR27) ,BR12R-1071,Gaya,Guraru,0.501,0.501,,0.501,,0.501,0,0,0,0.00,0.00,0.00,-
52,,PMGSY-I,L027 - SHAKURABAD GHAEHJAN ROAD T04 TO GALIMAPUR (VR9),BR14204,Jahanabad,Ratni Faridpur,4.156,4.156,,4.156,,4.156,0.2,0,0,0.00,0.00,0.00,-
53,,PMGSY-I,L140-TEHTA DHAWPAR ROAD TO HERDAYBIGHA ,BR14R-369,Jahanabad,Makhdumpur,1.64,0,,0,,0.000,0,0,0,0.00,0.00,0.00,-
54,,PMGSY-I,L146-Sahbajpur-Kundila road to RamseBigha,BR14R-381,Jahanabad,Ratni Faridpur,0.895,0.895,,0.895,,0.895,0,0,0,0.00,0.00,0.00,-
55,,PMGSY-I,Jamui-Bukar REO Road(Banpur) - Kanohitanr,BR1544,Jamui,Jamui,5,3.78,,0,,0.000,0,0,0,0.00,0.00,0.00,-
56,,PMGSY-I,L056-Karhi To Laparia (TRACK40),BR15R295,Jamui,Chakai,0.75,0.75,,0.75,,0.750,0,0,0,0.00,0.00,0.00,-
57,,PMGSY-I,L188-Bone Road Baratarn to Babudih (TRACK188) ,BR15R355,Jamui,Chakai,2.35,0,,0,,0.000,0,0,0,0.00,0.00,0.00,-
58,,PMGSY-I,L133-sonocharkaptharPWD road hiratanr (TRACK106) ,BR15R383,Jamui,Sono,1.218,0.318,,0.318,,0.318,0,0,0,0.00,0.00,0.00,-
59,,PMGSY-I,L175-Baljori Patjori Road to Dubariyatila (TRACK175) ,BR15R386,Jamui,Chakai,2.138,1.085,,1.085,,1.085,0,0,0,0.00,0.00,0.00,-
60,,PMGSY-I,L146-Narganjo Simultala Main Rd. To Barakola Via Pachkathia To Paijharna Adibasi Tola (TRACK99) ,BR15R393,Jamui,Jhajha,8.164,1.664,,1.664,,1.664,0,0,0,0.00,0.00,0.00,-
61,,PMGSY-I,L170-Nontara to Kitakasha (TRACK170) ,BR15R402,Jamui,Chakai,1.5,1.5,,1.5,,1.500,0,0,0,0.00,0.00,0.00,-
62,,PMGSY-I,L059-L058 To Bhalua (TRACK43) ,BR15R411,Jamui,Chakai,3.486,3.186,,3.186,,3.186,0,0,0,0.00,0.00,0.00,-
63,,PMGSY-I,L030-Lohra T01 to Morhapa (VR9) ,BR05R361,Kaimur (Bhabhua),Adhaura,34.7,0,,0,,0.000,0,0,0,130.41,130.41,28.29,-
64,,PMGSY-I,L026-L024 to Kaadhar Kala (VR6) ,BR05R378,Kaimur (Bhabhua),Adhaura,21.8,0,,0.3,,0.000,0,0.3,0,126.83,126.83,14.63,-
65,,PMGSY-I,L028-L109 Balughat to Azampurshankar (TRACK28) ,BR16R292,Katihar,Barari,1.36,0,,0.985,,0.000,0,0.985,0,13.20,13.20,0.00,-
66,,PMGSY-I,L044-TALHARI BLOCK SAHEBGANJ TO MAHARAJPUR RAILWAY STATION ROAD TO GADAIMAHARAJPUR (VR44) ,BR16R336,Katihar,Amdabad,5.425,0,,0,,0.000,0,0,0,0.00,0.00,0.00,-
67,,PMGSY-I,L032-T04 TO DILARPUR SEEJ (TRACK32) ,BR16R359,Katihar,Manihari,2.95,0,,0,,0.000,0,0,0,0.00,0.00,0.00,-
68,,PMGSY-I,Allauli to Hathwan,BR1701,Khagaria,Alauli,3.5,3.5,,3.5,,3.500,0,0,0,0.00,0.00,0.00,-
69,,PMGSY-I,L023-Saharbanni To Bharath (VR7),BR17R090,Khagaria,Alauli,8.634,2.634,,2.634,,2.634,0,0,0,25.56,25.56,0.00,-
70,,PMGSY-I,T04-Sonmanki to Anandpur Maran (VR1) ,BR17R152,Khagaria,Alauli,9.475,2.175,,2.175,,2.175,0,0,0,0.00,0.00,0.00,-
